"HOOD_158","year","CSI_CATEGORY","crime_count","neighbourhood_name"
"016",2021,"Assault",78,"Stonegate-Queensway"
"016",2021,"Auto Theft",71,"Stonegate-Queensway"
"016",2021,"Break and Enter",29,"Stonegate-Queensway"
"016",2021,"Robbery",18,"Stonegate-Queensway"
"016",2021,"Theft Over",7,"Stonegate-Queensway"
"016",2022,"Assault",101,"Stonegate-Queensway"
"016",2022,"Auto Theft",142,"Stonegate-Queensway"
"016",2022,"Break and Enter",44,"Stonegate-Queensway"
"016",2022,"Robbery",7,"Stonegate-Queensway"
"016",2022,"Theft Over",11,"Stonegate-Queensway"
"016",2023,"Assault",137,"Stonegate-Queensway"
"016",2023,"Auto Theft",151,"Stonegate-Queensway"
"016",2023,"Break and Enter",103,"Stonegate-Queensway"
"016",2023,"Robbery",18,"Stonegate-Queensway"
"016",2023,"Theft Over",10,"Stonegate-Queensway"
"016",2024,"Assault",131,"Stonegate-Queensway"
"016",2024,"Auto Theft",83,"Stonegate-Queensway"
"016",2024,"Break and Enter",88,"Stonegate-Queensway"
"016",2024,"Robbery",10,"Stonegate-Queensway"
"016",2024,"Theft Over",14,"Stonegate-Queensway"
"016",2025,"Assault",123,"Stonegate-Queensway"
"016",2025,"Auto Theft",57,"Stonegate-Queensway"
"016",2025,"Break and Enter",63,"Stonegate-Queensway"
"016",2025,"Robbery",12,"Stonegate-Queensway"
"016",2025,"Theft Over",18,"Stonegate-Queensway"
"018",2020,"Assault",89,"New Toronto"
"018",2020,"Auto Theft",21,"New Toronto"
"018",2020,"Break and Enter",41,"New Toronto"
"018",2020,"Robbery",11,"New Toronto"
"018",2020,"Theft Over",3,"New Toronto"
"018",2021,"Assault",113,"New Toronto"
"018",2021,"Auto Theft",15,"New Toronto"
"018",2021,"Break and Enter",18,"New Toronto"
"018",2021,"Robbery",14,"New Toronto"
"018",2021,"Theft Over",5,"New Toronto"
"018",2022,"Assault",166,"New Toronto"
"018",2022,"Auto Theft",44,"New Toronto"
"018",2022,"Break and Enter",24,"New Toronto"
"018",2022,"Robbery",16,"New Toronto"
"018",2022,"Theft Over",6,"New Toronto"
"018",2023,"Assault",165,"New Toronto"
